Store,CPI,Unemployment,Month,WeekOfYear,Weekly_Sales
1,1.004175220763895,0.05696365534901425,2,-1.473529830816261,1643690.9
1,1.007880381139025,0.05696365534901425,2,-1.4027489219124232,1641957.44
1,1.0090739958364634,0.05696365534901425,2,-1.3319680130085854,1611968.17
1,1.0098490191641099,0.05696365534901425,2,-1.2611871041047473,1409727.59
1,1.0106240424917567,0.05696365534901425,3,-1.1904061952009095,1554806.68
1,1.011399065819403,0.05696365534901425,3,-1.1196252862970717,1439541.59
1,1.0072061159260925,0.05696365534901425,3,-1.0488443773932339,1472515.79
1,1.0021851692254267,0.05696365534901425,3,-0.978063468489396,1404429.92
1,0.9971642250658199,-0.10190706006146753,4,-0.907282559585558,1594968.28
1,0.9921432809062132,-0.10190706006146753,4,-0.8365016506817202,1545418.53
1,0.9887342607561673,-0.10190706006146753,4,-0.7657207417778823,1466058.28
1,0.9874744743129087,-0.10190706006146753,4,-0.6949398328740445,1391256.12
1,0.9862146878696494,-0.10190706006146753,4,-0.6241589239702066,1425100.71
1,0.9849549014263909,-0.10190706006146753,5,-0.5533780150663687,1603955.12
1,0.984890300055706,-0.10190706006146753,5,-0.4825971061625308,1494251.5
1,0.9919968142025885,-0.10190706006146753,5,-0.41181619725869295,1399662.07
1,0.999103325808411,-0.10190706006146753,5,-0.3410352883548551,1432069.95
1,1.0062098374142336,-0.10190706006146753,6,-0.2702543794510172,1615524.71
1,1.013316351561116,-0.10190706006146753,6,-0.19947347054717934,1542561.09
1,1.0132573176530901,-0.10190706006146753,6,-0.12869256164334147,1503284.06
1,1.010332067064161,-0.10190706006146753,6,-0.0579116527395036,1422711.6
1,1.0074068164752323,-0.11310264738905176,7,0.012869256164334273,1492418.14
1,1.0044815658863033,-0.11310264738905176,7,0.08365016506817215,1546074.18
1,1.0042775543358653,-0.11310264738905176,7,0.15443107397201,1448938.92
1,1.0077018589623568,-0.11310264738905176,7,0.2252119828758479,1385065.2
1,1.0111261635888484,-0.11310264738905176,7,0.29599289177968574,1371986.6
1,1.014550468215339,-0.11310264738905176,8,0.3667738006835236,1605491.78
1,1.0179747753828905,-0.11310264738905176,8,0.4375547095873615,1508237.76
1,1.0170585250175268,-0.11310264738905176,8,0.5083356184911993,1513080.49
1,1.016142277193222,-0.11310264738905176,8,0.5791165273950373,1449142.92
1,1.0152260293689181,-0.11310264738905176,9,0.6498974362988751,1540163.53
1,1.0143097815446136,-0.11310264738905176,9,0.720678345202713,1507460.69
1,1.0150027133849715,-0.11310264738905176,9,0.7914592541065508,1430378.67
1,1.0169025369617422,-0.11310264738905176,9,0.8622401630103887,1351791.03
1,1.0188023579974521,-0.08591336387920413,10,0.9330210719142266,1453329.5
1,1.0207021790331618,-0.08591336387920413,10,1.0038019808180645,1508239.93
1,1.0224044148594045,-0.08591336387920413,10,1.0745828897219023,1459409.1
1,1.0236126914735657,-0.08591336387920413,10,1.1453637986257401,1345454.0
1,1.0248209680877272,-0.08591336387920413,10,1.2161447075295782,1384209.22
1,1.0260292447018884,-0.08591336387920413,11,1.286925616433416,1551659.28
1,1.0272375213160498,-0.08591336387920413,11,1.3577065253372538,1494479.49
1,1.0243338443272905,-0.08591336387920413,11,1.4284874342410916,1483784.18
